ceg,potencia_outorgada_mw,potencia_fiscalizada_mw,fase_usina,proprietario
EOL.CV.RN.035161-0.1,16.8,16.8,Operação,100% para AFONSO BEZERRA IV GERACAO DE ENERGIA SPE S.A. - 33.511.347/0001-58 (PIE)
EOL.CV.RN.035165-2.1,25.2,25.2,Operação,100% para EOLICA ANGICOS I GERACAO DE ENERGIAS SPE S.A - 33.511.173/0001-23 (PIE)
EOL.CV.RN.035166-0.1,29.4,29.4,Operação,100% para EOLICA ANGICOS II GERACAO DE ENERGIAS SPE S.A - 33.511.191/0001-05 (PIE)
EOL.CV.RN.035210-1.1,33.6,33.6,Operação,100% para CENTRAL EOLICA SRMN I S.A. - 29.302.334/0001-00 (PIE)
EOL.CV.RN.035211-0.1,29.4,29.4,Operação,100% para CENTRAL EOLICA SRMN II S.A. - 29.302.357/0001-06 (PIE)
EOL.CV.RN.035212-8.1,33.6,33.6,Operação,100% para CENTRAL EOLICA SRMN III S.A. - 29.433.969/0001-38 (PIE)
EOL.CV.RN.035214-4.1,24.8,24.8,Operação,100% para Eólica Santo Agostinho 25 S.A. - 23.079.920/0001-42 (PIE)
EOL.CV.RN.035215-2.1,43.4,43.4,Operação,100% para Eólica Santo Agostinho 26 S.A. - 23.079.885/0001-61 (PIE)
EOL.CV.RN.035216-0.1,37.2,37.2,Operação,100% para Eólica Santo Agostinho 27 S.A. - 23.193.334/0001-24 (PIE)
EOL.CV.RN.035270-5.1,27.72,27.72,Operação,100% para JANDAIRA III ENERGIAS RENOVAVEIS S.A. - 35.823.536/0001-91 (PIE)
EOL.CV.RN.035271-3.1,27.72,27.72,Operação,100% para JANDAIRA IV ENERGIAS RENOVAVEIS S.A. - 35.823.577/0001-88 (PIE)
EOL.CV.RN.036973-0.1,37.8,37.8,Operação,100% para VILA PIAUI 2 EMPREENDIMENTOS E PARTICIPACOES S.A. - 30.311.116/0001-02 (PIE)
EOL.CV.RN.036974-8.1,31.185,31.185,Operação,100% para VENTOS DE VILA CEARA I SPE S.A - 29.498.486/0001-11 (PIE)
EOL.CV.RN.036975-6.1,37.8,37.8,Operação,100% para VILA PIAUI 1 EMPREENDIMENTOS E PARTICIPACOES S.A. - 30.321.883/0001-00 (PIE)
EOL.CV.RN.036976-4.1,31.185,31.185,Operação,100% para VENTOS DE VILA CEARA II SPE S.A - 29.498.495/0001-02 (PIE)
EOL.CV.RN.036977-2.1,21.0,21.0,Operação,100% para VILA ALAGOAS II EMPREENDIMENTOS E PARTICIPACOES S.A - 34.109.311/0001-05 (PIE)
EOL.CV.RN.036979-9.1,42.0,42.0,Operação,100% para VILA PIAUI 3 EMPREENDIMENTOS E PARTICIPACOES S.A. - 30.311.141/0001-96 (PIE)
EOL.CV.RN.036980-2.1,31.95,31.95,Operação,100% para VENTOS DE VILA PARAIBA IV SPE S.A - 31.478.575/0001-48 (PIE)
EOL.CV.RN.036981-0.1,34.65,34.65,Operação,100% para VENTOS DE VILA PARAIBA I SPE S.A - 29.523.723/0001-57 (PIE)
EOL.CV.RN.036984-5.1,58.905,58.905,Operação,100% para EOL POTIGUAR B61 SPE S.A - 34.109.229/0001-80 (PIE)
EOL.CV.RN.036985-3.1,34.65,34.65,Operação,100% para VENTOS DE VILA PARAIBA II SPE S.A - 29.498.479/0001-10 (PIE)
EOL.CV.RN.037020-7.1,42.0,42.0,Operação,"59% para ENEL GREEN POWER CUMARU 04 S.A - 31.211.130/0001-05 (PIE), 17% para NESTLE BRASIL LTDA. - 60.409.075/0001-52 (PIE), 14% para CHOCOLATES GAROTO LTDA. - 28.053.619/0001-83 (PIE), 10% para NESTLE NORDESTE ALIMENTOS E BEBIDAS LTDA. - 08.334.818/0001-52 (PIE)"
